,Unnamed: 0,Text_x,Labels_x,real,Text_y,Labels_y,syn,Text,Labels,llm,Comparison
0,0,"„Der Beschuldigte wählte die Geschädigten willkürlich aus“, hatte Oberstaatsanwältin Judith Henkel in ihrem Schlusswort am Montag gesagt. Der [Zielgruppe] habe heimtückisch und aus Hass auf Deutschland gehandelt, wo er sich ungerecht behandelt und vom Geheimdienst verfolgt gefühlt habe. Stimmen in seinem Kopf hätten den Mann zu der Tat ermutigt. „Seine Absicht war es, so viele Menschen wie nur möglich (...) zu töten.“ Hinweise auf ein politisches Tatmotiv oder Frauenfeindlichkeit hätten sich nicht ergeben.",1,1,"„Der Beschuldigte wählte die Geschädigten willkürlich aus“, hatte Oberstaatsanwältin Judith Henkel in ihrem Schlusswort am Montag gesagt. Der [Zielgruppe] habe heimtückisch und aus Hass auf Deutschland gehandelt, wo er sich ungerecht behandelt und vom Geheimdienst verfolgt gefühlt habe. Stimmen in seinem Kopf hätten den Mann zu der Tat ermutigt. „Seine Absicht war es, so viele Menschen wie nur möglich (...) zu töten.“ Hinweise auf ein politisches Tatmotiv oder Frauenfeindlichkeit hätten sich nicht ergeben.",1,1,"„Der Beschuldigte wählte die Geschädigten willkürlich aus“, hatte Oberstaatsanwältin Judith Henkel in ihrem Schlusswort am Montag gesagt. Der [Zielgruppe] habe heimtückisch und aus Hass auf Deutschland gehandelt, wo er sich ungerecht behandelt und vom Geheimdienst verfolgt gefühlt habe. Stimmen in seinem Kopf hätten den Mann zu der Tat ermutigt. „Seine Absicht war es, so viele Menschen wie nur möglich (...) zu töten.“ Hinweise auf ein politisches Tatmotiv oder Frauenfeindlichkeit hätten sich nicht ergeben.",1,0,2
1,1,"Der [Zielgruppe] hatte im Juli 2021 einen Mitbewohner mit mindestens 111 Messerstichen getötet und die Leiche enthauptet. Er hatte geglaubt, in dem Mitbewohner befänden sich zwei Dämonen, die er töten wollte. Der Messerangriff war laut Gutachten derartig gewaltsam, dass dem Opfer noch bei lebendigem Leib Innereien austraten.",1,1,"Der [Zielgruppe] hatte im Juli 2021 einen Mitbewohner mit mindestens 111 Messerstichen getötet und die Leiche enthauptet. Er hatte geglaubt, in dem Mitbewohner befänden sich zwei Dämonen, die er töten wollte. Der Messerangriff war laut Gutachten derartig gewaltsam, dass dem Opfer noch bei lebendigem Leib Innereien austraten.",1,1,"Der [Zielgruppe] hatte im Juli 2021 einen Mitbewohner mit mindestens 111 Messerstichen getötet und die Leiche enthauptet. Er hatte geglaubt, in dem Mitbewohner befänden sich zwei Dämonen, die er töten wollte. Der Messerangriff war laut Gutachten derartig gewaltsam, dass dem Opfer noch bei lebendigem Leib Innereien austraten.",1,0,2
2,2,"Der [Zielgruppe] wurde 2015 in Deutschland erstmals registriert. Seither war er mehrmals wegen psychischer Probleme aufgefallen und polizeibekannt. Vor der Tat im vergangenen Juni hatten die Behörden nach eigenen Angaben aber keine Hinweise darauf, dass der Mann andere Menschen gefährden könnte. Zuletzt wohnte der mutmaßlich 33-Jährige in einer Obdachlosenunterkunft in Würzburg. Der [Zielgruppe] lebte legal in Deutschland und genoss sogenannten subsidiären Schutz - er durfte nicht in das afrikanische Land abgeschoben werden.",1,1,"Der [Zielgruppe] wurde 2015 in Deutschland erstmals registriert. Seither war er mehrmals wegen psychischer Probleme aufgefallen und polizeibekannt. Vor der Tat im vergangenen Juni hatten die Behörden nach eigenen Angaben aber keine Hinweise darauf, dass der Mann andere Menschen gefährden könnte. Zuletzt wohnte der mutmaßlich 33-Jährige in einer Obdachlosenunterkunft in Würzburg. Der [Zielgruppe] lebte legal in Deutschland und genoss sogenannten subsidiären Schutz - er durfte nicht in das afrikanische Land abgeschoben werden.",1,0,"Der [Zielgruppe] wurde 2015 in Deutschland erstmals registriert. Seither war er mehrmals wegen psychischer Probleme aufgefallen und polizeibekannt. Vor der Tat im vergangenen Juni hatten die Behörden nach eigenen Angaben aber keine Hinweise darauf, dass der Mann andere Menschen gefährden könnte. Zuletzt wohnte der mutmaßlich 33-Jährige in einer Obdachlosenunterkunft in Würzburg. Der [Zielgruppe] lebte legal in Deutschland und genoss sogenannten subsidiären Schutz - er durfte nicht in das afrikanische Land abgeschoben werden.",1,0,2
3,3,"Nicht viel anders sieht es aus mit dem Messerstecher von Würzburg, der drei Menschen getötet hat. „Stimmen in seinem“ Kopf zwangen dem [Zielgruppe] nach seinem eigenen Bekunden die Tat regelrecht auf. Auch er sei schuldunfähig, meldet die „Welt“.",1,1,"Nicht viel anders sieht es aus mit dem Messerstecher von Würzburg, der drei Menschen getötet hat. „Stimmen in seinem“ Kopf zwangen dem [Zielgruppe] nach seinem eigenen Bekunden die Tat regelrecht auf. Auch er sei schuldunfähig, meldet die „Welt“.",1,0,"Nicht viel anders sieht es aus mit dem Messerstecher von Würzburg, der drei Menschen getötet hat. „Stimmen in seinem“ Kopf zwangen dem [Zielgruppe] nach seinem eigenen Bekunden die Tat regelrecht auf. Auch er sei schuldunfähig, meldet die „Welt“.",1,0,2
4,4,"Der [Zielgruppe] sitzt in Untersuchungshaft. Die Ermittler hatten nach der Tat bei ihm etwa Propagandavideos der Terrororganisation Islamischer Staat (IS) entdeckt. Bisher war unklar, ob eine extremistische Motivation bei der Attacke eine Rolle gespielt haben könnte. Nun hat die Generalbundesanwaltschaft nach eigenen Angaben ""gravierende Anhaltspunkte für einen islamistischen Hintergrund"". Dem Mann werden unter anderem versuchter Mord in zwei Fällen, versuchter Totschlag sowie vorsätzliche Körperverletzung vorgeworfen.",1,1,"Der [Zielgruppe] sitzt in Untersuchungshaft. Die Ermittler hatten nach der Tat bei ihm etwa Propagandavideos der Terrororganisation Islamischer Staat (IS) entdeckt. Bisher war unklar, ob eine extremistische Motivation bei der Attacke eine Rolle gespielt haben könnte. Nun hat die Generalbundesanwaltschaft nach eigenen Angaben ""gravierende Anhaltspunkte für einen islamistischen Hintergrund"". Dem Mann werden unter anderem versuchter Mord in zwei Fällen, versuchter Totschlag sowie vorsätzliche Körperverletzung vorgeworfen.",1,1,"Der [Zielgruppe] sitzt in Untersuchungshaft. Die Ermittler hatten nach der Tat bei ihm etwa Propagandavideos der Terrororganisation Islamischer Staat (IS) entdeckt. Bisher war unklar, ob eine extremistische Motivation bei der Attacke eine Rolle gespielt haben könnte. Nun hat die Generalbundesanwaltschaft nach eigenen Angaben ""gravierende Anhaltspunkte für einen islamistischen Hintergrund"". Dem Mann werden unter anderem versuchter Mord in zwei Fällen, versuchter Totschlag sowie vorsätzliche Körperverletzung vorgeworfen.",1,0,2
5,5,"+++ 20:23 Buschmann rechnet mit jahrelangen Kriegsverbrecher-Ermittlungen +++
Bundesjustizminister Marco Buschmann rechnet mit langwierigen Ermittlungen gegen mutmaßliche Kriegsverbrecher in der [Gruppe5]. Es seien ""Hunderttausende, vielleicht sogar Millionen von Beweismitteln, die gesichtet, dokumentiert und ausgewertet werden müssen"", sagte Buschmann am Rande eines informellen EU-Justizministertreffens in Prag. Das werde vermutlich viele Jahre dauern. Buschmann äußerte sich dennoch zuversichtlich, Kriegsverbrechen in der [Gruppe5] ahnden zu können. Er verwies dabei auf die deutschen Prozesse gegen mehrere [Zielgruppe], die in diesem und im vergangenen Jahr unter anderem wegen Folter verurteilt worden waren. Der Justizminister will nach eigenen Worten im Herbst in die USA reisen, ""um mit den amerikanischen Behörden darüber zu sprechen, wie wir noch besser und enger kooperieren können"". Auch mit den [Gruppe5] Behörden werde es wahrscheinlich ein Abkommen zur Zusammenarbeit geben, sagte Buschmann. Der Generalbundesanwalt in Karlsruhe hatte Anfang März Ermittlungen zur Beweissicherung eingeleitet.",1,1,"+++ 20:23 Buschmann rechnet mit jahrelangen Kriegsverbrecher-Ermittlungen +++
Bundesjustizminister Marco Buschmann rechnet mit langwierigen Ermittlungen gegen mutmaßliche Kriegsverbrecher in der [Gruppe5]. Es seien ""Hunderttausende, vielleicht sogar Millionen von Beweismitteln, die gesichtet, dokumentiert und ausgewertet werden müssen"", sagte Buschmann am Rande eines informellen EU-Justizministertreffens in Prag. Das werde vermutlich viele Jahre dauern. Buschmann äußerte sich dennoch zuversichtlich, Kriegsverbrechen in der [Gruppe5] ahnden zu können. Er verwies dabei auf die deutschen Prozesse gegen mehrere [Zielgruppe], die in diesem und im vergangenen Jahr unter anderem wegen Folter verurteilt worden waren. Der Justizminister will nach eigenen Worten im Herbst in die USA reisen, ""um mit den amerikanischen Behörden darüber zu sprechen, wie wir noch besser und enger kooperieren können"". Auch mit den [Gruppe5] Behörden werde es wahrscheinlich ein Abkommen zur Zusammenarbeit geben, sagte Buschmann. Der Generalbundesanwalt in Karlsruhe hatte Anfang März Ermittlungen zur Beweissicherung eingeleitet.",1,0,"+++ 20:23 Buschmann rechnet mit jahrelangen Kriegsverbrecher-Ermittlungen +++
Bundesjustizminister Marco Buschmann rechnet mit langwierigen Ermittlungen gegen mutmaßliche Kriegsverbrecher in der [Gruppe5]. Es seien ""Hunderttausende, vielleicht sogar Millionen von Beweismitteln, die gesichtet, dokumentiert und ausgewertet werden müssen"", sagte Buschmann am Rande eines informellen EU-Justizministertreffens in Prag. Das werde vermutlich viele Jahre dauern. Buschmann äußerte sich dennoch zuversichtlich, Kriegsverbrechen in der [Gruppe5] ahnden zu können. Er verwies dabei auf die deutschen Prozesse gegen mehrere [Zielgruppe], die in diesem und im vergangenen Jahr unter anderem wegen Folter verurteilt worden waren. Der Justizminister will nach eigenen Worten im Herbst in die USA reisen, ""um mit den amerikanischen Behörden darüber zu sprechen, wie wir noch besser und enger kooperieren können"". Auch mit den [Gruppe5] Behörden werde es wahrscheinlich ein Abkommen zur Zusammenarbeit geben, sagte Buschmann. Der Generalbundesanwalt in Karlsruhe hatte Anfang März Ermittlungen zur Beweissicherung eingeleitet.",1,0,2
6,6,"Hintergrund der Ablehnung einer sogenannten Betretenserlaubnis ist insbesondere eine Gefahrenanalyse des Landeskriminalamtes. Der Mann war im März 2021 aus der Untersuchungshaft abgeschoben worden, für ihn gilt laut Gericht eine dreijährige Wiedereinreisesperre. Der [Zielgruppe] mit Verbindungen zu kriminellen Mitgliedern von Berliner Clans war wegen Gewalttaten sowie Drogenhandels aufgefallen und zuletzt angeklagt im Zusammenhang mit einer Schießerei. Aus Sicht der Prozessbeteiligten ist er ein wichtiger Zeuge in dem Prozess gegen Bushidos langjährigen Geschäftspartner, den Berliner Clanchef Arafat Abou-Chaker (45).",1,1,"Hintergrund der Ablehnung einer sogenannten Betretenserlaubnis ist insbesondere eine Gefahrenanalyse des Landeskriminalamtes. Der Mann war im März 2021 aus der Untersuchungshaft abgeschoben worden, für ihn gilt laut Gericht eine dreijährige Wiedereinreisesperre. Der [Zielgruppe] mit Verbindungen zu kriminellen Mitgliedern von Berliner Clans war wegen Gewalttaten sowie Drogenhandels aufgefallen und zuletzt angeklagt im Zusammenhang mit einer Schießerei. Aus Sicht der Prozessbeteiligten ist er ein wichtiger Zeuge in dem Prozess gegen Bushidos langjährigen Geschäftspartner, den Berliner Clanchef Arafat Abou-Chaker (45).",1,1,"Hintergrund der Ablehnung einer sogenannten Betretenserlaubnis ist insbesondere eine Gefahrenanalyse des Landeskriminalamtes. Der Mann war im März 2021 aus der Untersuchungshaft abgeschoben worden, für ihn gilt laut Gericht eine dreijährige Wiedereinreisesperre. Der [Zielgruppe] mit Verbindungen zu kriminellen Mitgliedern von Berliner Clans war wegen Gewalttaten sowie Drogenhandels aufgefallen und zuletzt angeklagt im Zusammenhang mit einer Schießerei. Aus Sicht der Prozessbeteiligten ist er ein wichtiger Zeuge in dem Prozess gegen Bushidos langjährigen Geschäftspartner, den Berliner Clanchef Arafat Abou-Chaker (45).",1,0,2
7,7,"Prompt nun meldeten die [Gruppe6] Behörden am Montag, dass bereits 45 „Verdächtige“ festgenommen worden seien. Angeblich habe die verhaftete [Zielgruppe] zugegeben, in [Zielgruppe] von „kurdischen Milizen“ ausgebildet worden zu sein. In die [Gruppe6] eingereist sei sie über Afrin – ausgerechnet! Denn dort kommt es nach wie vor zu ständigen Kämpfen zwischen YPG auf der einen, [Gruppe6] und HTS-Milizen auf der anderen Seite. Die einstmals letzte, friedliche Region im Nordwesten der [Gruppe6] steht aus genau diesen Gründen unter massiver Kontrolle durch die [Gruppe6] – ausgerechnet dort also gelingt es der Attentäterin, heimlich in die [Gruppe6] einzureisen.",1,1,"Prompt nun meldeten die [Gruppe6] Behörden am Montag, dass bereits 45 „Verdächtige“ festgenommen worden seien. Angeblich habe die verhaftete [Zielgruppe] zugegeben, in [Zielgruppe] von „kurdischen Milizen“ ausgebildet worden zu sein. In die [Gruppe6] eingereist sei sie über Afrin – ausgerechnet! Denn dort kommt es nach wie vor zu ständigen Kämpfen zwischen YPG auf der einen, [Gruppe6] und HTS-Milizen auf der anderen Seite. Die einstmals letzte, friedliche Region im Nordwesten der [Gruppe6] steht aus genau diesen Gründen unter massiver Kontrolle durch die [Gruppe6] – ausgerechnet dort also gelingt es der Attentäterin, heimlich in die [Gruppe6] einzureisen.",1,1,"Prompt nun meldeten die [Gruppe6] Behörden am Montag, dass bereits 45 „Verdächtige“ festgenommen worden seien. Angeblich habe die verhaftete [Zielgruppe] zugegeben, in [Zielgruppe] von „kurdischen Milizen“ ausgebildet worden zu sein. In die [Gruppe6] eingereist sei sie über Afrin – ausgerechnet! Denn dort kommt es nach wie vor zu ständigen Kämpfen zwischen YPG auf der einen, [Gruppe6] und HTS-Milizen auf der anderen Seite. Die einstmals letzte, friedliche Region im Nordwesten der [Gruppe6] steht aus genau diesen Gründen unter massiver Kontrolle durch die [Gruppe6] – ausgerechnet dort also gelingt es der Attentäterin, heimlich in die [Gruppe6] einzureisen.",1,0,2
8,8,Neustadt am Rübenberge – Ein Streit unter [Gruppe3] mündete in einem Gemetzel in der Kleinstadt. Drei Monate nach dem Pizzeria-Mord in Neustadt am Rübenberge (Region Hannover) hat die Staatsanwaltschaft Hannover die Unterbringung des [Zielgruppe] Abdi R. (22) in der Psychiatrie beantragt. Maßregelvollzug statt Knast!,1,1,Neustadt am Rübenberge – Ein Streit unter [Gruppe3] mündete in einem Gemetzel in der Kleinstadt. Drei Monate nach dem Pizzeria-Mord in Neustadt am Rübenberge (Region Hannover) hat die Staatsanwaltschaft Hannover die Unterbringung des [Zielgruppe] Abdi R. (22) in der Psychiatrie beantragt. Maßregelvollzug statt Knast!,1,1,Neustadt am Rübenberge – Ein Streit unter [Gruppe3] mündete in einem Gemetzel in der Kleinstadt. Drei Monate nach dem Pizzeria-Mord in Neustadt am Rübenberge (Region Hannover) hat die Staatsanwaltschaft Hannover die Unterbringung des [Zielgruppe] Abdi R. (22) in der Psychiatrie beantragt. Maßregelvollzug statt Knast!,1,0,2
9,9,Ein 25-jähriger [Zielgruppe] hat am vergangenen Dienstag in Oggersheim zwei 20 und 25 Jahre alte Männer mit einer Machete niedergmetzelt. Die Polizei schoss den Mörder nieder. Außer einer kleinen dpa-Meldung verschweigen die Mainstreammedien den Zweifach-Mord.,1,1,Ein 25-jähriger [Zielgruppe] hat am vergangenen Dienstag in Oggersheim zwei 20 und 25 Jahre alte Männer mit einer Machete niedergmetzelt. Die Polizei schoss den Mörder nieder. Außer einer kleinen dpa-Meldung verschweigen die Mainstreammedien den Zweifach-Mord.,1,1,Ein 25-jähriger [Zielgruppe] hat am vergangenen Dienstag in Oggersheim zwei 20 und 25 Jahre alte Männer mit einer Machete niedergmetzelt. Die Polizei schoss den Mörder nieder. Außer einer kleinen dpa-Meldung verschweigen die Mainstreammedien den Zweifach-Mord.,1,0,2
